Num,Label,Value,Active_Cnt,Phase,Min,Max,Init,Used,Status,Parm_StDev,Gradient,Pr_type
322,Fishery_ARDEV_y1967_a6,0.335313,268,5,-10,10,0,0,act,0.467315,1.21E-07,dev
323,Fishery_ARDEV_y1968_a1,0.882751,269,5,-10,10,0,0,act,0.293048,-4.47E-08,dev
324,Fishery_ARDEV_y1968_a2,1.5105,270,5,-10,10,0,0,act,0.35729,6.58E-07,dev
325,Fishery_ARDEV_y1968_a3,1.48936,271,5,-10,10,0,0,act,0.375263,6.66E-07,dev
326,Fishery_ARDEV_y1968_a4,0.658559,272,5,-10,10,0,0,act,0.457656,2.34E-07,dev
327,Fishery_ARDEV_y1968_a5,0.0598132,273,5,-10,10,0,0,act,0.647244,1.26E-07,dev
328,Fishery_ARDEV_y1968_a6,0.317997,274,5,-10,10,0,0,act,0.740642,2.53E-07,dev
329,Fishery_ARDEV_y1969_a1,1.62911,275,5,-10,10,0,0,act,0.33033,7.76E-07,dev
330,Fishery_ARDEV_y1969_a2,1.66347,276,5,-10,10,0,0,act,0.34581,1.29E-06,dev
331,Fishery_ARDEV_y1969_a3,0.817005,277,5,-10,10,0,0,act,0.54146,1.45E-07,dev
332,Fishery_ARDEV_y1969_a4,0.586095,278,5,-10,10,0,0,act,0.65,1.14E-07,dev
333,Fishery_ARDEV_y1969_a5,0.854017,279,5,-10,10,0,0,act,0.678801,8.18E-08,dev
334,Fishery_ARDEV_y1969_a6,0.0743824,280,5,-10,10,0,0,act,0.784562,1.26E-07,dev
335,Fishery_ARDEV_y1970_a1,0.896642,281,5,-10,10,0,0,act,0.304753,5.04E-07,dev
336,Fishery_ARDEV_y1970_a2,1.52912,282,5,-10,10,0,0,act,0.321693,1.21E-06,dev
337,Fishery_ARDEV_y1970_a3,1.12009,283,5,-10,10,0,0,act,0.410823,5.75E-07,dev
338,Fishery_ARDEV_y1970_a4,0.198694,284,5,-10,10,0,0,act,0.694728,1.10E-07,dev
339,Fishery_ARDEV_y1970_a5,0.0158721,285,5,-10,10,0,0,act,0.798917,-7.56E-08,dev
340,Fishery_ARDEV_y1970_a6,-0.294251,286,5,-10,10,0,0,act,0.884521,2.83E-07,dev
341,Fishery_ARDEV_y1971_a1,1.61584,287,5,-10,10,0,0,act,0.276776,3.33E-06,dev
342,Fishery_ARDEV_y1971_a2,1.20141,288,5,-10,10,0,0,act,0.352631,9.65E-07,dev
343,Fishery_ARDEV_y1971_a3,1.19919,289,5,-10,10,0,0,act,0.545399,6.73E-07,dev
344,Fishery_ARDEV_y1971_a4,0.54884,290,5,-10,10,0,0,act,0.695294,1.59E-07,dev
345,Fishery_ARDEV_y1971_a5,-0.205706,291,5,-10,10,0,0,act,0.883384,8.11E-08,dev
346,Fishery_ARDEV_y1971_a6,-0.104754,292,5,-10,10,0,0,act,0.928967,-8.48E-08,dev
347,Fishery_ARDEV_y1972_a1,1.18203,293,5,-10,10,0,0,act,0.27067,2.80E-06,dev
348,Fishery_ARDEV_y1972_a2,0.758555,294,5,-10,10,0,0,act,0.306805,2.99E-07,dev
349,Fishery_ARDEV_y1972_a3,0.267621,295,5,-10,10,0,0,act,0.461881,2.45E-07,dev
350,Fishery_ARDEV_y1972_a4,-0.280769,296,5,-10,10,0,0,act,0.827898,1.18E-07,dev
351,Fishery_ARDEV_y1972_a5,-0.164462,297,5,-10,10,0,0,act,0.894598,2.36E-08,dev
352,Fishery_ARDEV_y1972_a6,-0.0962498,298,5,-10,10,0,0,act,0.935663,-1.58E-07,dev
353,Fishery_ARDEV_y1973_a1,1.27563,299,5,-10,10,0,0,act,0.303694,1.14E-06,dev
354,Fishery_ARDEV_y1973_a2,0.928065,300,5,-10,10,0,0,act,0.323955,6.44E-07,dev
355,Fishery_ARDEV_y1973_a3,0.708887,301,5,-10,10,0,0,act,0.394465,6.21E-07,dev
356,Fishery_ARDEV_y1973_a4,0.272426,302,5,-10,10,0,0,act,0.659151,1.44E-07,dev
357,Fishery_ARDEV_y1973_a5,-0.0733671,303,5,-10,10,0,0,act,0.888363,8.17E-08,dev
358,Fishery_ARDEV_y1973_a6,-0.0346261,304,5,-10,10,0,0,act,0.942241,6.49E-08,dev
359,Fishery_ARDEV_y1974_a1,0.711964,305,5,-10,10,0,0,act,0.262528,-1.26E-06,dev
360,Fishery_ARDEV_y1974_a2,0.762869,306,5,-10,10,0,0,act,0.27647,-2.52E-06,dev
361,Fishery_ARDEV_y1974_a3,0.22308,307,5,-10,10,0,0,act,0.347551,-1.09E-06,dev
362,Fishery_ARDEV_y1974_a4,0.0500927,308,5,-10,10,0,0,act,0.589573,-1.36E-07,dev
363,Fishery_ARDEV_y1974_a5,0.0832303,309,5,-10,10,0,0,act,0.886583,-4.32E-07,dev
364,Fishery_ARDEV_y1974_a6,0.0408032,310,5,-10,10,0,0,act,0.946771,-9.11E-08,dev
365,Fishery_ARDEV_y1975_a1,0.563391,311,5,-10,10,0,0,act,0.369414,-9.04E-06,dev
366,Fishery_ARDEV_y1975_a2,0.486015,312,5,-10,10,0,0,act,0.394915,-3.58E-06,dev
367,Fishery_ARDEV_y1975_a3,0.0414222,313,5,-10,10,0,0,act,0.43712,-3.05E-06,dev
368,Fishery_ARDEV_y1975_a4,-0.263159,314,5,-10,10,0,0,act,0.57533,-6.86E-07,dev
369,Fishery_ARDEV_y1975_a5,0.0125463,315,5,-10,10,0,0,act,0.954842,-4.27E-07,dev
370,Fishery_ARDEV_y1975_a6,0.00749111,316,5,-10,10,0,0,act,0.964391,-3.09E-07,dev
371,Fishery_ARDEV_y1976_a1,-0.520514,317,5,-10,10,0,0,act,0.596085,3.22E-07,dev
372,Fishery_ARDEV_y1976_a2,0.819904,318,5,-10,10,0,0,act,0.360213,3.57E-06,dev
373,Fishery_ARDEV_y1976_a3,0.567024,319,5,-10,10,0,0,act,0.467259,4.13E-07,dev
374,Fishery_ARDEV_y1976_a4,0.129813,320,5,-10,10,0,0,act,0.632381,-4.32E-08,dev
375,Fishery_ARDEV_y1976_a5,0.223669,321,5,-10,10,0,0,act,0.842077,3.16E-07,dev
376,Fishery_ARDEV_y1976_a6,0.0379343,322,5,-10,10,0,0,act,0.952833,8.76E-08,dev
377,Fishery_ARDEV_y1977_a1,-0.201893,323,5,-10,10,0,0,act,0.539564,4.54E-07,dev
378,Fishery_ARDEV_y1977_a2,-1.02762,324,5,-10,10,0,0,act,0.563605,-1.64E-07,dev
379,Fishery_ARDEV_y1977_a3,1.08448,325,5,-10,10,0,0,act,0.577177,-2.27E-06,dev
380,Fishery_ARDEV_y1977_a4,0.148878,326,5,-10,10,0,0,act,0.852638,-1.59E-07,dev
381,Fishery_ARDEV_y1977_a5,0.195502,327,5,-10,10,0,0,act,0.883055,2.31E-08,dev
382,Fishery_ARDEV_y1977_a6,0.0695354,328,5,-10,10,0,0,act,0.955607,1.38E-08,dev
383,Fishery_ARDEV_y1978_a1,0.633693,329,5,-10,10,0,0,act,0.47724,-1.74E-06,dev
384,Fishery_ARDEV_y1978_a2,-1.85383,330,5,-10,10,0,0,act,0.597511,2.02E-07,dev
385,Fishery_ARDEV_y1978_a3,-1.63346,331,5,-10,10,0,0,act,0.634194,6.66E-07,dev
386,Fishery_ARDEV_y1978_a4,-0.244327,332,5,-10,10,0,0,act,0.904108,4.62E-07,dev
387,Fishery_ARDEV_y1978_a5,-0.0607468,333,5,-10,10,0,0,act,0.937551,2.13E-07,dev
388,Fishery_ARDEV_y1978_a6,-0.0381429,334,5,-10,10,0,0,act,0.947478,-7.00E-09,dev
389,Fishery_ARDEV_y1979_a1,-0.331253,335,5,-10,10,0,0,act,0.45377,3.29E-07,dev
390,Fishery_ARDEV_y1979_a2,-1.28182,336,5,-10,10,0,0,act,0.506778,-2.76E-07,dev
391,Fishery_ARDEV_y1979_a3,-1.67335,337,5,-10,10,0,0,act,0.60689,7.00E-08,dev
392,Fishery_ARDEV_y1979_a4,-1.32977,338,5,-10,10,0,0,act,0.669467,2.55E-07,dev
393,Fishery_ARDEV_y1979_a5,-0.296429,339,5,-10,10,0,0,act,0.934201,-1.06E-07,dev
394,Fishery_ARDEV_y1979_a6,-0.0697227,340,5,-10,10,0,0,act,0.952459,3.96E-08,dev
395,Fishery_ARDEV_y1980_a1,-1.30406,341,5,-10,10,0,0,act,0.401232,-1.19E-06,dev
396,Fishery_ARDEV_y1980_a2,-0.842558,342,5,-10,10,0,0,act,0.492197,-1.42E-06,dev
397,Fishery_ARDEV_y1980_a3,-0.762274,343,5,-10,10,0,0,act,0.553788,-1.46E-06,dev
398,Fishery_ARDEV_y1980_a4,-0.983744,344,5,-10,10,0,0,act,0.664664,-4.87E-07,dev
399,Fishery_ARDEV_y1980_a5,-0.752073,345,5,-10,10,0,0,act,0.768708,-5.80E-07,dev
400,Fishery_ARDEV_y1980_a6,-0.0685243,346,5,-10,10,0,0,act,0.96588,-2.68E-07,dev
401,Fishery_ARDEV_y1981_a1,-1.47208,347,5,-10,10,0,0,act,0.361576,9.02E-07,dev
402,Fishery_ARDEV_y1981_a2,-1.93054,348,5,-10,10,0,0,act,0.431658,9.09E-07,dev
403,Fishery_ARDEV_y1981_a3,-1.39181,349,5,-10,10,0,0,act,0.717384,1.05E-06,dev
404,Fishery_ARDEV_y1981_a4,-0.520939,350,5,-10,10,0,0,act,1.03992,5.07E-07,dev
405,Fishery_ARDEV_y1981_a5,-0.169525,351,5,-10,10,0,0,act,1.05246,1.82E-07,dev
406,Fishery_ARDEV_y1981_a6,-0.0512129,352,5,-10,10,0,0,act,0.994903,5.38E-08,dev
407,Fishery_ARDEV_y1982_a1,-1.59115,353,5,-10,10,0,0,act,0.364654,-7.99E-08,dev
408,Fishery_ARDEV_y1982_a2,-1.77016,354,5,-10,10,0,0,act,0.477471,9.50E-08,dev
409,Fishery_ARDEV_y1982_a3,-1.63762,355,5,-10,10,0,0,act,0.553917,-2.48E-07,dev
410,Fishery_ARDEV_y1982_a4,-0.213946,356,5,-10,10,0,0,act,1.03959,1.19E-07,dev
411,Fishery_ARDEV_y1982_a5,-0.0215739,357,5,-10,10,0,0,act,0.97281,-1.15E-07,dev
412,Fishery_ARDEV_y1982_a6,-0.00256756,358,5,-10,10,0,0,act,0.961685,1.30E-08,dev
413,Fishery_ARDEV_y1983_a1,-1.37955,359,5,-10,10,0,0,act,0.283638,2.00E-06,dev
414,Fishery_ARDEV_y1983_a2,-1.84772,360,5,-10,10,0,0,act,0.37048,1.52E-06,dev
415,Fishery_ARDEV_y1983_a3,-1.67866,361,5,-10,10,0,0,act,0.493379,1.30E-06,dev
416,Fishery_ARDEV_y1983_a4,-1.14496,362,5,-10,10,0,0,act,0.55324,1.14E-06,dev
417,Fishery_ARDEV_y1983_a5,-0.0147626,363,5,-10,10,0,0,act,0.972904,3.79E-08,dev
418,Fishery_ARDEV_y1983_a6,-0.000516893,364,5,-10,10,0,0,act,0.960519,1.20E-08,dev
419,Fishery_ARDEV_y1984_a1,-1.16451,365,5,-10,10,0,0,act,0.293295,-2.58E-06,dev
420,Fishery_ARDEV_y1984_a2,-1.33689,366,5,-10,10,0,0,act,0.340045,-3.41E-06,dev
421,Fishery_ARDEV_y1984_a3,-1.45683,367,5,-10,10,0,0,act,0.445327,-1.74E-06,dev
422,Fishery_ARDEV_y1984_a4,-1.00119,368,5,-10,10,0,0,act,0.557062,-7.33E-07,dev
423,Fishery_ARDEV_y1984_a5,0.0545408,369,5,-10,10,0,0,act,0.933665,-2.30E-07,dev
424,Fishery_ARDEV_y1984_a6,0.000155121,370,5,-10,10,0,0,act,0.959973,-7.84E-08,dev
425,Fishery_ARDEV_y1985_a1,0.319758,371,5,-10,10,0,0,act,0.272279,-1.44E-06,dev
426,Fishery_ARDEV_y1985_a2,-0.480767,372,5,-10,10,0,0,act,0.32424,-1.41E-06,dev
427,Fishery_ARDEV_y1985_a3,-0.241509,373,5,-10,10,0,0,act,0.381978,-9.57E-07,dev
428,Fishery_ARDEV_y1985_a4,-0.411949,374,5,-10,10,0,0,act,0.544055,-3.66E-07,dev
429,Fishery_ARDEV_y1985_a5,0.413504,375,5,-10,10,0,0,act,0.793437,6.22E-08,dev
430,Fishery_ARDEV_y1985_a6,0.0232205,376,5,-10,10,0,0,act,0.959212,2.11E-08,dev
431,Fishery_ARDEV_y1986_a1,0.628806,377,5,-10,10,0,0,act,0.254835,-2.70E-06,dev
432,Fishery_ARDEV_y1986_a2,0.0855153,378,5,-10,10,0,0,act,0.343935,-1.30E-06,dev
433,Fishery_ARDEV_y1986_a3,-0.334571,379,5,-10,10,0,0,act,0.383452,-1.31E-06,dev
434,Fishery_ARDEV_y1986_a4,-0.137176,380,5,-10,10,0,0,act,0.528165,-5.93E-07,dev
435,Fishery_ARDEV_y1986_a5,0.140485,381,5,-10,10,0,0,act,0.764156,-1.78E-07,dev
436,Fishery_ARDEV_y1986_a6,0.0100425,382,5,-10,10,0,0,act,0.960157,-2.19E-07,dev
437,Fishery_ARDEV_y1987_a1,-0.197029,383,5,-10,10,0,0,act,0.242544,-3.35E-06,dev
438,Fishery_ARDEV_y1987_a2,-0.779519,384,5,-10,10,0,0,act,0.305012,-1.74E-06,dev
439,Fishery_ARDEV_y1987_a3,-0.907182,385,5,-10,10,0,0,act,0.422176,-8.94E-07,dev
440,Fishery_ARDEV_y1987_a4,-1.08906,386,5,-10,10,0,0,act,0.469924,-8.19E-07,dev
441,Fishery_ARDEV_y1987_a5,-0.638563,387,5,-10,10,0,0,act,0.637525,-4.70E-07,dev
442,Fishery_ARDEV_y1987_a6,-0.130936,388,5,-10,10,0,0,act,1.00662,5.15E-09,dev
443,Fishery_ARDEV_y1988_a1,0.682624,389,5,-10,10,0,0,act,0.270227,-1.91E-06,dev
444,Fishery_ARDEV_y1988_a2,-0.6671,390,5,-10,10,0,0,act,0.317259,-8.18E-07,dev
445,Fishery_ARDEV_y1988_a3,-0.82274,391,5,-10,10,0,0,act,0.366922,-3.08E-07,dev
446,Fishery_ARDEV_y1988_a4,-0.541217,392,5,-10,10,0,0,act,0.498876,6.25E-08,dev
447,Fishery_ARDEV_y1988_a5,-0.781665,393,5,-10,10,0,0,act,0.5524,5.60E-08,dev
448,Fishery_ARDEV_y1988_a6,0.101781,394,5,-10,10,0,0,act,0.886166,-1.96E-08,dev
